Caption,File Name in Drive,Drive File,Mime type,Link
How to Be a REAL Tourist 🇦🇫,YaqoobiDay3Afghanistan.mp4,YaqoobiDay3Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1GH9MrDKxnxDNnXj2xkbYvU7spn89XA7i/view?usp=sharing
Why the Taliban is UNBEATABLE 🇦🇫,3WeaponsDay4Afghanistan.mp4,3WeaponsDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/16bOmUSwruYHELwXR1zm6L6F5mkfFNC1B/view?usp=sharing
Taliban Member Straps Me to a Missile 🇦🇫,BikeRideDay4Afghanistan.mp4,BikeRideDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1AR7p0SoNyMK_06e7AJHqTrJgZLSnnYxc/view?usp=sharing
10 Year Old Hustler in Afghanistan 🇦🇫,BlessingKidDay4Afghanistan.mp4,BlessingKidDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1YYx2SWP-IgxHbtUCcE2UInX_x0iIelJF/view?usp=sharing
Bike Crash with the Taliban 🇦🇫,CrashDay4Afghanistan.mp4,CrashDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/168woneAtQbu-eFzBzjlNt3Xnz5x1Jnu_/view?usp=sharing
How Restaurants in Afghanistan Work 🇦🇫,DessertDay4Afghanistan.mp4,DessertDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1EZz3g5Nh4rZsDg15F4QVuCkxHAfM3K01/view?usp=sharing
Held at Gunpoint by the Taliban 🇦🇫,EatingBreakfastDay4Afghanistan.mp4,EatingBreakfastDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1SooBwbDo0s_0FApwkmr9LJ3fZf8Tv-kE/view?usp=sharing
Meeting a Taliban Boss 🇦🇫,EatingLunchDay4Afghanistan.mp4,EatingLunchDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1OzVch9QyPuhRRHkOodKndodQOJh3q8zJ/view?usp=sharing
The Taliban Use Social Media 🇦🇫,FacebookDay4Afghanistan.mp4,FacebookDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1q3vaDihyaRn5fS6xRoW7iAxE3QY3HOUL/view?usp=sharing
How Gas Stations in Afghanistan Work 🇦🇫,FillingGasDay4Afghanistan.mp4,FillingGasDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1X_nWaItXUyI2p_3uHURC1QToHrejXnAJ/view?usp=sharing
Deep Inside the Taliban of Afghanistan 🇦🇫,IntelligenceDay4Afghanistan.mp4,IntelligenceDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1zTVVhijz5FSITaD0S4R33vF5eEXdq4H0/view?usp=sharing
Shooting a Bazooka with the Taliban 🇦🇫,KidSoldiersDay4Afghanistan.mp4,KidSoldiersDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1tzMEeEHge9p4O2oEHj9hw40Y9ArZZWGq/view?usp=sharing
Taliban Bans Me from Using Music 🇦🇫,MusicDay4Afghanistan.mp4,MusicDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/17N_Ad9RaeW-X7C31c1kkNKf-dTLYuRiz/view?usp=sharing
Why Muslims NEVER Shave 🇦🇫,PicnicDay4Afghanistan.mp4,PicnicDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1Bi9IjL5WNq3dAA2zrNChU5_bBQSLPmDK/view?usp=sharing
How Afghans Hustle 🇦🇫,PlasticKidDay4Afghanistan.mp4,PlasticKidDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1cYlIPNjYvaMFeZEcveKccNNErrMkRj-H/view?usp=sharing
Playing Soccer with the Taliban 🇦🇫,PlayingSoccerDay4Afghanistan.mp4,PlayingSoccerDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1QOWty2Er4tsPaGke2dkAdWmay6ANucus/view?usp=sharing
Taliban Boss Tries to Recruit Me 🇦🇫,RecruitedDay4Afghanistan.mp4,RecruitedDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/15NZGW5x5Q-6Fg3ZwiwiSNoBbkKQ3tInT/view?usp=sharing
$10M Bounty Taliban Member 🇦🇫,ReligiousDebateDay4Afghanistan.mp4,ReligiousDebateDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1naYLC7GTSt8cVXjcZ2sn3i9CmjJg0wm_/view?usp=sharing
Attacked by Kid Taliban Members 🇦🇫,RPGDay4Afghanistan.mp4,RPGDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1ApOG-Fk_0U3ZXvs8wxtHDn3bM5qSOtrz/view?usp=sharing
6 Year Old Shepard in Afghanistan 🇦🇫,ShepardDay4Afghanistan.mp4,ShepardDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1AWe0V0jWhIZAMKDw3OGrVUhmXIIQ0Pj3/view?usp=sharing
World's Smartest Kid 🇦🇫,SmartKidDay4Afghanistan.mp4,SmartKidDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1zQ-M4QU-mMAVHpZPcvJAJS5j4lXk5YVZ/view?usp=sharing
Inside a Taliban Training Class 🇦🇫,SurroundedKidSoldiersDay4Afghanistan.mp4,SurroundedKidSoldiersDay4Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/12pfV-cNq4mVix6pKC2rk-lti4hRmRR61/view?usp=sharing
6 Year Old Bargains with the Taliban 🇦🇫,6YearOldHustlingDay5Afghanistan.mp4,6YearOldHustlingDay5Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1Gp_fd4T5RVtCVkBbPyM9PSNnhQEV1Jni/view?usp=sharing
Afghans Illegally Speak to Women 🇦🇫,ArrestingAfghansDay5Afghanistan.mp4,ArrestingAfghansDay5Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/118BRvfWOPt0xZlFn3Pk3R40JYILqc2GH/view?usp=sharing
Buying a Burqa with the Taliban 🇦🇫,BuyingBurqaDay5Afghanistan.mp4,BuyingBurqaDay5Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1qQStfNFsJmvxlAUtqmO2x6Jg88G8jrJg/view?usp=sharing
Debating the Taliban on Islam 🇦🇫,DonkeyDay5Afghanistan.mp4,DonkeyDay5Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1FPd3ccBBWAKZPfORlMuauxvyX0k4lufA/view?usp=sharing
How the Taliban Raise Women 🇦🇫,FutureMotherDay5Afghanistan.mp4,FutureMotherDay5Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1VBuRE6SPIVJDQDUO66xmtbxSH1g9lzLc/view?usp=sharing
Promoting Peace to the Taliban 🇦🇫,GettingFamousDay5Afghanistan.mp4,GettingFamousDay5Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/17_PQnOacNBIrudTIvDQ8-ZQV0wyk_DsV/view?usp=sharing
Taliban Member Puts Hijab on Me 🇦🇫,HijabedDay5Afghanistan.mp4,HijabedDay5Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1B13D7KQBX0Gr25szNtx0XqWDZVaTULRy/view?usp=sharing
ISIS Bombs the Taliban 🇦🇫,IEDDay5Afghanistan.mp4,IEDDay5Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1tUIkhLhzuOae82-B1VKmFYNzHzgTOA2q/view?usp=sharing
Taliban Member Detains Me 🇦🇫,KidsLearningDay5Afghanistan.mp4,KidsLearningDay5Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1BtvtOb6VszU21X3ESnn44QjPvfNV-7C8/view?usp=sharing
Why the Taliban Don't Wear Seatbelts 🇦🇫,SeatbeltDay5Afghanistan.mp4,SeatbeltDay5Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1stcjhSKgJU2HUHL26Da0rrPT32--qE-9/view?usp=sharing
This Water Makes You Muslim 🇦🇫,WaterDay5Afghanistan.mp4,WaterDay5Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/19JljGi2HHNVYu9w2ajt5Cxcuk8baH1Ql/view?usp=sharing
The Reality of Women in Afghanistan 🇦🇫,WomenDay5Afghanistan.mp4,WomenDay5Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1EB5uJKl6x51NKZZRteIMx0ii92HOgITJ/view?usp=sharing
Inside a Women's Market in Afghanistan 🇦🇫,WomenMarketDay5Afghanistan.mp4,WomenMarketDay5Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/14epUzHahW4z7tKvCf9laKtN_BqAYwfo0/view?usp=sharing
What Women in Afghanistan Wear 🇦🇫,WomenDressesDay5Afghanistan.mp4,WomenDressesDay5Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1F3ictP8nFXSiHreu8ko3L1cdzEhkXCb_/view?usp=sharing
Afghan Sees $100 Bill for First Time 🇦🇫,$100BillDay6Afghanistan.mp4,$100BillDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1HYCE66VQygwjoi9hWKTJwuFLpSY58lbR/view?usp=sharing
Blessing 6 Year Old Afghan Hustler 🇦🇫,BlessingKidDay6Afghanistan.mp4,BlessingKidDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1EqFIU0zYz1HOZg33zNxvXcoY7-jfwIl_/view?usp=sharing
Eating Brain with the Taliban 🇦🇫,BrainMasalaDay6Afghanistan.mp4,BrainMasalaDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1S3BSM_IojbeaUhBXLyAflMJmF3tda1L4/view?usp=sharing
Why the Taliban Blew Up Buddha 🇦🇫,BuddhaDay6Afghanistan.mp4,BuddhaDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/17GwU5R74hpmLKuD_17VMdOY8eAiJU0Fu/view?usp=sharing
