id,name,iso,emoji,emoji_code
91,Guernsey and Alderney,GGY,🇬🇬,U+1F1EC U+1F1EC
92,Guinea,GIN,🇬🇳,U+1F1EC U+1F1F3
93,Guinea-Bissau,GNB,🇬🇼,U+1F1EC U+1F1FC
94,Guyana,GUY,🇬🇾,U+1F1EC U+1F1FE
95,Haiti,HTI,🇭🇹,U+1F1ED U+1F1F9
96,Heard Island and McDonald Islands,HMD,🇭🇲,U+1F1ED U+1F1F2
97,Honduras,HND,🇭🇳,U+1F1ED U+1F1F3
98,Hong Kong S.A.R.,HKG,🇭🇰,U+1F1ED U+1F1F0
99,Hungary,HUN,🇭🇺,U+1F1ED U+1F1FA
100,Iceland,ISL,🇮🇸,U+1F1EE U+1F1F8
101,India,IND,🇮🇳,U+1F1EE U+1F1F3
102,Indonesia,IDN,🇮🇩,U+1F1EE U+1F1E9
103,Iran,IRN,🇮🇷,U+1F1EE U+1F1F7
104,Iraq,IRQ,🇮🇶,U+1F1EE U+1F1F6
105,Ireland,IRL,🇮🇪,U+1F1EE U+1F1EA
106,Israel,ISR,🇮🇱,U+1F1EE U+1F1F1
107,Italy,ITA,🇮🇹,U+1F1EE U+1F1F9
108,Jamaica,JAM,🇯🇲,U+1F1EF U+1F1F2
109,Japan,JPN,🇯🇵,U+1F1EF U+1F1F5
110,Jersey,JEY,🇯🇪,U+1F1EF U+1F1EA
111,Jordan,JOR,🇯🇴,U+1F1EF U+1F1F4
112,Kazakhstan,KAZ,🇰🇿,U+1F1F0 U+1F1FF
113,Kenya,KEN,🇰🇪,U+1F1F0 U+1F1EA
114,Kiribati,KIR,🇰🇮,U+1F1F0 U+1F1EE
248,Kosovo,XKX,🇽🇰,U+1F1FD U+1F1F0
117,Kuwait,KWT,🇰🇼,U+1F1F0 U+1F1FC
118,Kyrgyzstan,KGZ,🇰🇬,U+1F1F0 U+1F1EC
119,Laos,LAO,🇱🇦,U+1F1F1 U+1F1E6
120,Latvia,LVA,🇱🇻,U+1F1F1 U+1F1FB
121,Lebanon,LBN,🇱🇧,U+1F1F1 U+1F1E7
122,Lesotho,LSO,🇱🇸,U+1F1F1 U+1F1F8
123,Liberia,LBR,🇱🇷,U+1F1F1 U+1F1F7
124,Libya,LBY,🇱🇾,U+1F1F1 U+1F1FE
125,Liechtenstein,LIE,🇱🇮,U+1F1F1 U+1F1EE
126,Lithuania,LTU,🇱🇹,U+1F1F1 U+1F1F9
127,Luxembourg,LUX,🇱🇺,U+1F1F1 U+1F1FA
128,Macau S.A.R.,MAC,🇲🇴,U+1F1F2 U+1F1F4
130,Madagascar,MDG,🇲🇬,U+1F1F2 U+1F1EC
131,Malawi,MWI,🇲🇼,U+1F1F2 U+1F1FC
132,Malaysia,MYS,🇲🇾,U+1F1F2 U+1F1FE
133,Maldives,MDV,🇲🇻,U+1F1F2 U+1F1FB
134,Mali,MLI,🇲🇱,U+1F1F2 U+1F1F1
135,Malta,MLT,🇲🇹,U+1F1F2 U+1F1F9
136,Man (Isle of),IMN,🇮🇲,U+1F1EE U+1F1F2
137,Marshall Islands,MHL,🇲🇭,U+1F1F2 U+1F1ED
138,Martinique,MTQ,🇲🇶,U+1F1F2 U+1F1F6
139,Mauritania,MRT,🇲🇷,U+1F1F2 U+1F1F7
140,Mauritius,MUS,🇲🇺,U+1F1F2 U+1F1FA
141,Mayotte,MYT,🇾🇹,U+1F1FE U+1F1F9
142,Mexico,MEX,🇲🇽,U+1F1F2 U+1F1FD
143,Micronesia,FSM,🇫🇲,U+1F1EB U+1F1F2
144,Moldova,MDA,🇲🇩,U+1F1F2 U+1F1E9
145,Monaco,MCO,🇲🇨,U+1F1F2 U+1F1E8
146,Mongolia,MNG,🇲🇳,U+1F1F2 U+1F1F3
147,Montenegro,MNE,🇲🇪,U+1F1F2 U+1F1EA
148,Montserrat,MSR,🇲🇸,U+1F1F2 U+1F1F8
149,Morocco,MAR,🇲🇦,U+1F1F2 U+1F1E6
150,Mozambique,MOZ,🇲🇿,U+1F1F2 U+1F1FF
151,Myanmar,MMR,🇲🇲,U+1F1F2 U+1F1F2
152,Namibia,NAM,🇳🇦,U+1F1F3 U+1F1E6
153,Nauru,NRU,🇳🇷,U+1F1F3 U+1F1F7
154,Nepal,NPL,🇳🇵,U+1F1F3 U+1F1F5
156,Netherlands,NLD,🇳🇱,U+1F1F3 U+1F1F1
157,New Caledonia,NCL,🇳🇨,U+1F1F3 U+1F1E8
158,New Zealand,NZL,🇳🇿,U+1F1F3 U+1F1FF
159,Nicaragua,NIC,🇳🇮,U+1F1F3 U+1F1EE
160,Niger,NER,🇳🇪,U+1F1F3 U+1F1EA
161,Nigeria,NGA,🇳🇬,U+1F1F3 U+1F1EC
162,Niue,NIU,🇳🇺,U+1F1F3 U+1F1FA
163,Norfolk Island,NFK,🇳🇫,U+1F1F3 U+1F1EB
115,North Korea,PRK,🇰🇵,U+1F1F0 U+1F1F5
129,North Macedonia,MKD,🇲🇰,U+1F1F2 U+1F1F0
164,Northern Mariana Islands,MNP,🇲🇵,U+1F1F2 U+1F1F5
165,Norway,NOR,🇳🇴,U+1F1F3 U+1F1F4
166,Oman,OMN,🇴🇲,U+1F1F4 U+1F1F2
167,Pakistan,PAK,🇵🇰,U+1F1F5 U+1F1F0
168,Palau,PLW,🇵🇼,U+1F1F5 U+1F1FC
169,Palestinian Territory Occupied,PSE,🇵🇸,U+1F1F5 U+1F1F8
170,Panama,PAN,🇵🇦,U+1F1F5 U+1F1E6
171,Papua New Guinea,PNG,🇵🇬,U+1F1F5 U+1F1EC
172,Paraguay,PRY,🇵🇾,U+1F1F5 U+1F1FE
173,Peru,PER,🇵🇪,U+1F1F5 U+1F1EA
174,Philippines,PHL,🇵🇭,U+1F1F5 U+1F1ED
175,Pitcairn Island,PCN,🇵🇳,U+1F1F5 U+1F1F3
176,Poland,POL,🇵🇱,U+1F1F5 U+1F1F1
177,Portugal,PRT,🇵🇹,U+1F1F5 U+1F1F9
178,Puerto Rico,PRI,🇵🇷,U+1F1F5 U+1F1F7
179,Qatar,QAT,🇶🇦,U+1F1F6 U+1F1E6
180,Reunion,REU,🇷🇪,U+1F1F7 U+1F1EA
181,Romania,ROU,🇷🇴,U+1F1F7 U+1F1F4
182,Russia,RUS,🇷🇺,U+1F1F7 U+1F1FA
183,Rwanda,RWA,🇷🇼,U+1F1F7 U+1F1FC
184,Saint Helena,SHN,🇸🇭,U+1F1F8 U+1F1ED
185,Saint Kitts and Nevis,KNA,🇰🇳,U+1F1F0 U+1F1F3
186,Saint Lucia,LCA,🇱🇨,U+1F1F1 U+1F1E8
187,Saint Pierre and Miquelon,SPM,🇵🇲,U+1F1F5 U+1F1F2
188,Saint Vincent and the Grenadines,VCT,🇻🇨,U+1F1FB U+1F1E8
189,Saint-Barthelemy,BLM,🇧🇱,U+1F1E7 U+1F1F1
190,Saint-Martin (French part),MAF,🇲🇫,U+1F1F2 U+1F1EB
191,Samoa,WSM,🇼🇸,U+1F1FC U+1F1F8
192,San Marino,SMR,🇸🇲,U+1F1F8 U+1F1F2
193,Sao Tome and Principe,STP,🇸🇹,U+1F1F8 U+1F1F9
194,Saudi Arabia,SAU,🇸🇦,U+1F1F8 U+1F1E6
195,Senegal,SEN,🇸🇳,U+1F1F8 U+1F1F3
